產品編號,產品名稱,分類,單位數量,單位,進貨重量,商品重量,商品重量單位,產品售價,售價備註,廠商,單位成本,是否現場準備,是否菜單品項,是否上架,備註,gross_margin_pct,status
MEAT001,人氣半筋半肉,肉類區-就是愛吃肉,1,份,,,,55,,總公司,20.0,,,True,單價較高/份量不多/外面幾乎買不到/但真的好吃,63.6,🟢 高毛利
MEAT002,必吃排骨酥,肉類區-就是愛吃肉,1,份,,,,45,,總公司,,,,True,,,⚪ 未填成本
MEAT003,豬肉片,肉類區-就是愛吃肉,1,份,,,,45,,巨琩,,,,True,,,⚪ 未填成本
MEAT004,滷大腸,肉類區-就是愛吃肉,1,兩,,,,40,,巨琩,,,,True,,,⚪ 未填成本
MEAT005,豬腱肉,肉類區-就是愛吃肉,1,兩,,,,25,,巨琩,,,,True,,,⚪ 未填成本
MEAT006,豬耳朵,肉類區-就是愛吃肉,1,兩,,,,25,,巨琩,,,,True,,,⚪ 未填成本
MEAT007,滷香豬頭皮,肉類區-就是愛吃肉,1,份,,,,35,,自購,,,,True,,,⚪ 未填成本
MEAT008,德國煙燻香腸,肉類區-就是愛吃肉,1,份,,,,35,,同賀,,,,True,,,⚪ 未填成本
MEAT009,鴨胗,肉類區-就是愛吃肉,1,份,,,,35,,巨琩,,,,True,,,⚪ 未填成本
MEAT010,古早味香腸,肉類區-就是愛吃肉,1,份,,,,30,,總公司,,,,True,,,⚪ 未填成本
MEAT011,特製豬肝片,肉類區-就是愛吃肉,1,份,,,,30,,自購,,,,True,,,⚪ 未填成本
MEAT012,雞翅,肉類區-就是愛吃肉,1,份,,,,25,,巨琩,,,,True,,,⚪ 未填成本
MEAT013,滷香嫩土雞屁股,肉類區-就是愛吃肉,1,份,,,,25,,自購,,,,True,,,⚪ 未填成本
MEAT014,雞心,肉類區-就是愛吃肉,1,份,,,,20,,巨琩,,,,True,,,⚪ 未填成本
MEAT015,豬皮,肉類區-就是愛吃肉,1,份,,,,20,,自購,,,,True,,,⚪ 未填成本
MEAT016,滷香雞腳,肉類區-就是愛吃肉,5,隻,,,,20,,自購,,,,True,每日限量,,⚪ 未填成本
MEAT017,吮指大隻土雞脖子,肉類區-就是愛吃肉,1,支,,,,15,,自購,,,,True,,,⚪ 未填成本
MEAT018,QQ土雞皮,肉類區-就是愛吃肉,1,串,,,,15,,自購,,,,True,,,⚪ 未填成本
MEAT019,嫩土雞肝,肉類區-就是愛吃肉,1,顆,,,,10,,自購,,,,True,,,⚪ 未填成本
HP2501,北海貝,火鍋料系列,2,個,,,,25,,總公司,,,,True,,,⚪ 未填成本
HP2502,章魚丸子,火鍋料系列,2,個,,,,25,,總公司,,,,True,,,⚪ 未填成本
HP2503,墨魚花枝丸,火鍋料系列,2,個,,,,25,,總公司,,,,True,,,⚪ 未填成本
HP2504,芋角鮮肉丸,火鍋料系列,2,個,,,,25,,同賀,,,,True,,,⚪ 未填成本
HP2505,鮮味芹菜丸,火鍋料系列,2,個,,,,25,,none,,,,True,,,⚪ 未填成本
HP2506,龍蝦沙拉球,火鍋料系列,2,個,,,,25,,同賀,,,,True,,,⚪ 未填成本
HP2507,特級原味貢丸,火鍋料系列,2,個,,,,25,,同賀,,,,True,,,⚪ 未填成本
HP2508,特級香菇貢丸,火鍋料系列,2,個,,,,25,,同賀,,,,True,,,⚪ 未填成本
HP2509,泡菜貢丸,火鍋料系列,2,個,,,,25,,none,,,,True,,,⚪ 未填成本
HP2510,超推日式-京之蟹腳,火鍋料系列,2,個,,,,25,,總公司,,,,True,,,⚪ 未填成本
HP2511,超推日式-京之干貝,火鍋料系列,2,個,,,,25,,總公司,,,,True,,,⚪ 未填成本
HP2001,魚餃,火鍋料系列,4,個,,,,20,,總公司,,,,True,,,⚪ 未填成本
HP2002,鑫鑫腸,火鍋料系列,4,個,,,,20,,同賀,,,,True,,,⚪ 未填成本
HP2003,水晶餃,火鍋料系列,4,個,,,,20,,總公司,,,,True,,,⚪ 未填成本
HP2004,鴨肉丸,火鍋料系列,4,個,,,,20,,同賀,,,,True,,,⚪ 未填成本
HP2005,韓式年糕,火鍋料系列,4,個,,,,20,,總公司,,,,True,,,⚪ 未填成本
HP2006,黃金脆魚蛋,火鍋料系列,4,個,,,,20,,總公司,,,,True,,,⚪ 未填成本
HP2007,鮮脆鱈魚丸,火鍋料系列,4,個,,,,20,,總公司,,,,True,,,⚪ 未填成本
HP2008,蒟蒻絲,火鍋料系列,4,個,,,,20,,總公司,,,,True,,,⚪ 未填成本
HP2009,鳥蛋,火鍋料系列,4,個,,,,20,,自購,,,,True,,,⚪ 未填成本
HPSTR01,素腰花,火鍋料系列,1,串,,,,20,,總公司,,,,True,,,⚪ 未填成本
VEG001,高麗菜,健康青菜多健康,1,份,,,,30,,自購,,,,True,青菜以當面為主，會不定時更換菜色,,⚪ 未填成本
